transMonth,openPrice,highestPrice,lowestPrice,closePrice
20M03,11184.66,11525.32,8523.63,9708.06
20M02,11365.9,11854.98,11138.03,11292.17
20M01,12026.5,12197.64,11418.22,11495.1
19M12,11509.94,12125.9,11454.38,11997.14
19M11,11373.7,11668.2,11335.51,11489.57
19M10,10855.6,11428.42,10809.28,11358.71
19M09,10613.19,10971.54,10557.03,10829.68
19M08,10773.06,10773.25,10180.04,10618.05
19M07,10821.3,10994.44,10680.85,10823.81
19M06,10482.45,10840.29,10371.08,10730.83
19M05,10992.76,11097,10227.44,10498.49
19M04,10714.68,11077.99,10627.01,10967.73
19M03,10385.25,10667.94,10204.21,10641.04
19M02,10029.84,10416.91,9988.83,10389.17
19M01,9725.27,10020.6,9319.28,9932.26
18M12,9979.21,10148.75,9473.3,9727.41
18M11,9812.2,10014.42,9616.16,9888.03
18M10,11014.19,11064.34,9400.69,9802.13
18M09,11087.86,11097.11,10667.25,11006.34
18M08,11062.36,11186.05,10606.26,11063.94
18M07,10852.17,11080.41,10523.58,11057.51
18M06,10882.68,11261.68,10633.01,10836.91
18M05,10665.52,11034.12,10500.97,10874.96
18M04,10936.26,11016.35,10478.98,10657.88
18M03,10779.1,11120.2,10638.98,10919.49
18M02,11139.4,11212.1,10189.04,10815.47
18M01,10664.82,11270.18,10650.77,11103.79
17M12,10591.62,10665.92,10322.76,10642.86
17M11,10816.04,10882.65,10560.44,10560.44
17M10,10425.1,10842.25,10414.53,10793.8
17M09,10576.27,10664.18,10257.02,10383.94
17M08,10408.53,10619.42,10225.28,10585.78
17M07,10368.99,10537.42,10283.95,10427.33
17M06,10064.44,10545.7,10033.25,10395.07
17M05,9926.44,10121.88,9895.65,10040.72
17M04,9856.44,9949.48,9622.25,9872
17M03,9751.12,9976.61,9562.75,9811.52
17M02,9502.25,9869.59,9413.77,9750.47
17M01,9252.56,9468.34,9235.95,9447.95
16M12,9245.55,9430.34,9078.64,9253.5
16M11,9272.3,9296.86,8879.69,9240.71
16M10,9219.52,9399.97,9074.99,9290.12
16M09,9055.73,9303.13,8885.55,9166.85
16M08,9008.74,9200.42,8928.33,9068.85
16M07,8692.48,9085.91,8569.15,8984.41
16M06,8516.08,8754.82,8374.26,8666.58
16M05,8362.35,8563.4,7999.98,8535.59
16M04,8700.38,8743.35,8352.23,8377.9
16M03,8381.38,8840.75,8378.06,8744.83
16M02,8164.24,8432.74,7953.99,8411.16
16M01,8315.79,8326.33,7627.89,8145.21
15M12,8359.27,8535.36,7980.59,8338.06
15M11,8571.53,8871.87,8217.34,8320.61
15M10,8194.3,8757.14,8170.78,8554.31
15M09,8117.5,8488.53,7907.31,8181.24
15M08,8636.53,8636.53,7203.07,8174.92
15M07,9311.76,9404.76,8516.23,8665.34
15M06,9688.13,9692.34,9170.09,9323.02
15M05,9853.51,9871.65,9536.16,9701.07
15M04,9575.11,10014.28,9503.53,9820.05
15M03,9665.11,9775.63,9472.54,9586.44
15M02,9368.83,9699.54,9352.19,9622.1
15M01,9292.31,9523.73,9043.44,9361.91
14M12,9038.41,9338.06,8826.03,9307.26
14M11,9009.38,9217.73,8828.15,9187.15
14M10,8958.87,9122.54,8501.29,8974.76
14M09,9474.41,9532.66,8860.17,8966.92
14M08,9223.75,9502.42,9014.89,9436.27
14M07,9393.07,9593.68,9313.87,9315.85
14M06,9106.61,9393.07,9070.45,9393.07
14M05,8846.86,9139.57,8803.43,9075.91
14M04,8847.34,9022.28,8671.65,8791.44
14M03,8627.15,8849.28,8508.01,8849.28
14M02,8290.17,8647.9,8230.46,8639.58
14M01,8618.6,8668.95,8442.19,8462.57
13M12,8429.24,8647.24,8313.87,8611.51
13M11,8474.47,8476.63,8093.82,8406.83
13M10,8173.99,8469.58,8172.79,8450.06
13M09,8010.15,8310.94,7993.13,8173.87
13M08,8110.73,8162.91,7737.33,8021.89
13M07,8011.95,8265.7,7877.06,8107.94
13M06,8177.97,8250.17,7663.23,8062.21
13M05,8111.43,8439.15,8095.7,8254.8
13M04,7934.25,8115.59,7688.62,8093.66
13M03,7917.72,8089.21,7786.56,7918.61
13M02,7853.75,8029.1,7832,7897.98
13M01,7738.05,7855.16,7603.27,7850.02
12M12,7582.65,7757.09,7491.52,7699.5
12M11,7141.97,7590.69,7050.05,7580.17
12M10,7702.12,7727.53,7091.19,7166.05
12M09,7430.4,7789.39,7313.56,7715.16
12M08,7242.58,7536.32,7186.78,7397.06
12M07,7332.09,7442.55,6922.73,7270.49
12M06,7213.69,7334.63,6857.35,7296.28
12M05,7511.76,7704.87,7047.32,7301.5
12M04,7905.88,7928.43,7422.14,7501.72
12M03,8127.57,8170.72,7775.75,7933
12M02,7520.36,8121.44,7488.97,8121.44
12M01,7071.35,7517.08,6948.67,7517.08
11M12,7132.41,7199.26,6609.11,7072.08
11M11,7547.24,7683.09,6744.26,6904.12
11M10,7128.66,7743.37,6889.99,7587.69
11M09,7799.18,7886.04,6877.12,7225.38
11M08,8629.97,8707.87,7148.76,7741.36
11M07,8684.39,8842.17,8410.44,8644.18
11M06,8999.84,9089.47,8433.46,8652.59
11M05,9014.33,9082.01,8673.38,8988.84
11M04,8697.84,9099.75,8592.23,9007.87
11M03,8611.79,8829.23,8070.52,8683.3
11M02,9220.69,9220.69,8470.09,8599.65
11M01,9039.63,9154.93,8738.93,9145.35
10M12,8430.6,8990.38,8428.64,8972.5
10M11,8343.52,8473.66,8226.71,8372.48
10M10,8259.08,8386.29,7992.81,8287.09
10M09,7643.61,8286.93,7625.72,8237.78
10M08,7829.19,8054.29,7577.1,7616.28
10M07,7326.89,7807.07,7251.6,7760.63
10M06,7327.01,7645.71,7048.6,7329.37
10M05,7979.8,8022.45,7032.4,7373.98
